date,from_bank,transaction_id,to_bank,to_account,sender,receiver,amount,currency,transaction_type,is_laundering,risk_score,risk_level,fraud_pattern,flag_round_amount,flag_high_value,flag_currency_mismatch,flag_velocity,flag_reinvestment
01-09-22 00:06,3854,8005E2C80,3854,8005E2C80,Sole Proprietorship #232,Sole Proprietorship #232,2879.4,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 18:52,15747,806A393C0,15747,806A393C0,Sole Proprietorship #10616,Sole Proprietorship #10616,313338.31,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 08:04,21575,8016F7790,21575,8016F7790,Sole Proprietorship #3494,Sole Proprietorship #3494,183017.42,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:05,1,800697D50,1,800697D50,Corporation #786,Corporation #786,3.38,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:01,1601,8005CA0C0,1601,8005CA0C0,Partnership #947,Partnership #947,32.16,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:07,1,800394050,1,800394050,Partnership #412,Partnership #412,157216.84,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 00:04,1047,8008054F0,1047,8008054F0,Sole Proprietorship #1255,Sole Proprietorship #1255,9383.2,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:03,15768,8149656B0,15768,8149656B0,Partnership #37,Partnership #37,10.91,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:01,26624,80341AC70,26624,80341AC70,Corporation #15906,Corporation #15906,38564555.81,Euro,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
02-09-22 07:21,19535,803A5D800,19535,803A5D800,Partnership #7709,Partnership #7709,351428.49,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:29,2843,80065CE10,2843,80065CE10,Sole Proprietorship #966,Sole Proprietorship #966,2622.04,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:01,3559,8008E4490,21550,8008E5900,Sole Proprietorship #1426,Partnership #1492,8289.51,US Dollar,ACH,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:00,3470,800312D60,3470,800312D60,Sole Proprietorship #309,Sole Proprietorship #309,11418.77,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:02,2843,8004DE650,2843,8004DE650,Sole Proprietorship #709,Sole Proprietorship #709,15.65,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:10,10,8005BCCE0,10,8005BCCE0,Sole Proprietorship #860,Sole Proprietorship #860,3.31,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:26,1362,800328AE0,1362,800328AE0,Sole Proprietorship #320,Sole Proprietorship #320,38537.23,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:21,37189,8050932D0,12893,8050961D0,Corporation #7366,Corporation #5477,9484.07,US Dollar,ACH,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 02:10,2991,80172CBA0,2991,80172CBA0,Sole Proprietorship #42141,Sole Proprietorship #42141,470737.4,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:21,1665,800604EA0,1665,800604EA0,Partnership #982,Partnership #982,4.22,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:04,70,100428660,1124,8007051D0,Sole Proprietorship #41,Corporation #857,2739407.76,US Dollar,Cash,0,45,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,FALSE
01-09-22 00:13,11471,800A53130,11471,800A53130,Corporation #1264,Corporation #1264,378698.19,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 00:07,1420,8004330D0,13264,80BFB8190,Sole Proprietorship #15697,Partnership #5252,68.65,US Dollar,Credit Card,0,20,Low,unknown,FALSE,FALSE,FALSE,TRUE,FALSE
01-09-22 00:07,10,8001E7410,10,8001E7410,Partnership #246,Partnership #246,18.91,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 14:44,795,8009802B0,795,8009802B0,Corporation #1218,Corporation #1218,1256585.63,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:21,31555,8012EE0F0,13037,8012F00C0,Partnership #3117,Partnership #3118,0.05,US Dollar,Cheque,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:16,701,80043EBF0,701,80043EBF0,Corporation #415,Corporation #415,51213.82,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 00:27,2439,801572A20,795,8059E1650,Partnership #3436,Partnership #9896,3745.88,US Dollar,Credit Card,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
02-09-22 08:03,123247,808AE99F0,123247,808AE99F0,Sole Proprietorship #34547,Sole Proprietorship #34547,62387.78,UK Pound,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:10,3607,8.02E+55,2991,801589DB0,Corporation #2705,Corporation #2704,0.04,US Dollar,Cheque,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:19,315253,805A62390,7478,805A62430,Sole Proprietorship #9443,Partnership #9968,0.01,US Dollar,ACH,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
02-09-22 09:09,18475,807E30A80,18475,807E30A80,Corporation #34100,Corporation #34100,173429.51,Yuan,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:29,1665,80293A2E0,21575,803AC6150,Sole Proprietorship #7254,Sole Proprietorship #7255,40708.99,US Dollar,Cheque,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
02-09-22 14:58,3,8036600F0,3,8036600F0,Corporation #28467,Corporation #28467,133734.61,Yuan,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:04,11107,8008C8EC0,2053,80500D680,Partnership #372,Corporation #7351,13517.24,US Dollar,Credit Card,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:05,513,8007208B0,513,8007208B0,Partnership #1233,Partnership #1233,7441.86,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:22,1588,8006139A0,1588,8006139A0,Partnership #998,Partnership #998,334.42,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 01:43,11974,800C35760,11974,800C35760,Sole Proprietorship #1870,Sole Proprietorship #1870,801782.05,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:09,12,8006EF630,12,8006EF630,Partnership #1174,Partnership #1174,175339.55,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 00:27,1601,800449790,1601,800449790,Partnership #763,Partnership #763,4017.5,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:18,1,8005B1A20,1,8005B1A20,Sole Proprietorship #874,Sole Proprietorship #874,890.04,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:07,2843,800ACA260,2843,800ACA260,Partnership #1737,Partnership #1737,24.32,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
02-09-22 08:14,11474,80ADDDEC0,11474,80ADDDEC0,Sole Proprietorship #14353,Sole Proprietorship #14353,5404343.12,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:21,16136,8024AE810,4523,8053DCA70,Corporation #4149,Sole Proprietorship #9007,13771.36,US Dollar,Credit Card,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:13,11107,800700EA0,11107,800700EA0,Sole Proprietorship #1115,Sole Proprietorship #1115,1558304.3,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 11:20,27621,80A2004A0,27621,80A2004A0,Sole Proprietorship #35454,Sole Proprietorship #35454,73300.79,Australian Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:22,12,800638ED0,12,800638ED0,Partnership #1015,Partnership #1015,11583372.33,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
01-09-22 00:12,220,800423C60,220,800423C60,Partnership #563,Partnership #563,4124.64,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
02-09-22 18:27,1362,800C7E850,1362,800C7E850,Corporation #2416,Corporation #2416,1544821.05,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:28,31159,8006DC2D0,701,8006DA510,Partnership #628,Corporation #849,24736.48,US Dollar,Cheque,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
01-09-22 00:28,11318,800B68220,11318,800B68220,Partnership #1828,Partnership #1828,8.02,US Dollar,Reinvestment,0,35,Medium,layering,FALSE,FALSE,FALSE,TRUE,TRUE
01-09-22 00:02,121987,808DC7530,121987,808DC7530,Partnership #35495,Partnership #35495,72449.98,UK Pound,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 20:11,1457,802EB71B0,1457,802EB71B0,Corporation #5018,Corporation #5018,848181.52,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:13,220,8001533D0,220,8001533D0,Corporation #158,Corporation #158,1150.3,US Dollar,Reinvestment,0,15,Low,layering,FALSE,FALSE,FALSE,FALSE,TRUE
01-09-22 00:24,1420,8006AB1D0,1420,8006AB1D0,Corporation #799,Corporation #799,213018.6,US Dollar,Reinvestment,0,60,Medium,round_trip,FALSE,TRUE,FALSE,TRUE,TRUE
02-09-22 00:03,213704,80AB674F0,213704,80AB674F0,Sole Proprietorship #14246,Sole Proprietorship #14246,77445.15,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
02-09-22 17:15,23538,809390AE0,23538,809390AE0,Corporation #39084,Corporation #39084,463111.31,US Dollar,ACH,0,65,High,round_trip,FALSE,TRUE,TRUE,TRUE,FALSE
01-09-22 00:25,10,8002670F0,1292,8003AEA10,Sole Proprietorship #259,Partnership #453,12970.55,US Dollar,ACH,0,20,Low,unknown,FALSE,FALSE,FALSE,TRUE,FALSE
01-09-22 00:25,3561,800455CD0,1688,8004565C0,Corporation #448,Partnership #639,471.65,US Dollar,ACH,0,0,Clean,unknown,FALSE,FALSE,FALSE,FALSE,FALSE
